aclu_id,official_name,party,district,state,legislator_type,congressional_district
aclu/elections-api/congress_legislator:1012,Peter Welch,Democrat,0,VT,rep,5000
aclu/elections-api/congress_legislator:1000,"Donald S. Beyer, Jr.",Democrat,8,VA,rep,5108
aclu/elections-api/congress_legislator:11604,Abigail Davis Spanberger,Democrat,7,VA,rep,5107
aclu/elections-api/congress_legislator:11607,Elaine G. Luria,Democrat,2,VA,rep,5102
aclu/elections-api/congress_legislator:11606,Denver Riggleman,Republican,5,VA,rep,5105
aclu/elections-api/congress_legislator:997,Barbara Comstock,Republican,10,VA,rep,5110
aclu/elections-api/congress_legislator:1002,H. Morgan Griffith,Republican,9,VA,rep,5109
aclu/elections-api/congress_legislator:996,A. Donald McEachin,Democrat,4,VA,rep,5104
aclu/elections-api/congress_legislator:11683,Bob Good,Republican,5,VA,rep,5105
aclu/elections-api/congress_legislator:1004,"Robert C. ""Bobby"" Scott",Democrat,3,VA,rep,5103
aclu/elections-api/congress_legislator:11605,Ben Cline,Republican,6,VA,rep,5106
aclu/elections-api/congress_legislator:1006,Scott Taylor,Republican,2,VA,rep,5102
aclu/elections-api/congress_legislator:998,Bob Goodlatte,Republican,6,VA,rep,5106
aclu/elections-api/congress_legislator:1005,Robert J. Wittman,Republican,1,VA,rep,5101
aclu/elections-api/congress_legislator:1007,"Thomas A. Garrett, Jr.",Republican,5,VA,rep,5105
aclu/elections-api/congress_legislator:1001,Gerald E. Connolly,Democrat,11,VA,rep,5111
aclu/elections-api/congress_legislator:11608,Jennifer Wexton,Democrat,10,VA,rep,5110
aclu/elections-api/congress_legislator:999,Dave Brat,Republican,7,VA,rep,5107
aclu/elections-api/congress_legislator:941,Kristi L. Noem,Republican,0,SD,rep,4600
aclu/elections-api/congress_legislator:11589,Dusty Johnson,Republican,0,SD,rep,4600
aclu/elections-api/congress_legislator:932,Jeff Duncan,Republican,3,SC,rep,4503
aclu/elections-api/congress_legislator:11587,Joe Cunningham,Democrat,1,SC,rep,4501
aclu/elections-api/congress_legislator:936,Ralph Norman,Republican,5,SC,rep,4505
aclu/elections-api/congress_legislator:938,Tom Rice,Republican,7,SC,rep,4507
aclu/elections-api/congress_legislator:935,Mark Sanford,Republican,1,SC,rep,4501
aclu/elections-api/congress_legislator:11588,William R. Timmons IV,Republican,4,SC,rep,4504
aclu/elections-api/congress_legislator:939,Trey Gowdy,Republican,4,SC,rep,4504
aclu/elections-api/congress_legislator:931,James E. Clyburn,Democrat,6,SC,rep,4506
aclu/elections-api/congress_legislator:11672,Nancy Mace,Republican,1,SC,rep,4501
aclu/elections-api/congress_legislator:933,Joe Wilson,Republican,2,SC,rep,4502
aclu/elections-api/congress_legislator:11682,Burgess Owens,Republican,4,UT,rep,4904
aclu/elections-api/congress_legislator:1049,John R. Curtis,Republican,3,UT,rep,4903
aclu/elections-api/congress_legislator:11602,Ben McAdams,Democrat,4,UT,rep,4904
aclu/elections-api/congress_legislator:11681,Blake D. Moore,Republican,1,UT,rep,4901
aclu/elections-api/congress_legislator:995,Rob Bishop,Republican,1,UT,rep,4901
aclu/elections-api/congress_legislator:992,Mia B. Love,Republican,4,UT,rep,4904
aclu/elections-api/congress_legislator:991,Chris Stewart,Republican,2,UT,rep,4902
aclu/elections-api/congress_legislator:1009,Stacey E. Plaskett,Democrat,0,VI,rep,7800
aclu/elections-api/congress_legislator:11638,Andrew S. Clyde,Republican,9,GA,rep,1309
aclu/elections-api/congress_legislator:657,Jody B. Hice,Republican,10,GA,rep,1310
aclu/elections-api/congress_legislator:649,A. Drew Ferguson IV,Republican,3,GA,rep,1303
aclu/elections-api/congress_legislator:655,Doug Collins,Republican,9,GA,rep,1309
aclu/elections-api/congress_legislator:650,Austin Scott,Republican,8,GA,rep,1308
aclu/elections-api/congress_legislator:11639,Carolyn Bourdeaux,Democrat,7,GA,rep,1307
aclu/elections-api/congress_legislator:660,Rick W. Allen,Republican,12,GA,rep,1312
aclu/elections-api/congress_legislator:11642,Nikema Williams,Democrat,5,GA,rep,1305
aclu/elections-api/congress_legislator:11621,,Democrat,5,GA,rep,1305
aclu/elections-api/congress_legislator:659,John Lewis,Democrat,5,GA,rep,1305
aclu/elections-api/congress_legislator:663,Tom Graves,Republican,14,GA,rep,1314
aclu/elections-api/congress_legislator:661,Rob Woodall,Republican,7,GA,rep,1307
aclu/elections-api/congress_legislator:11533,Lucy McBath,Democrat,6,GA,rep,1306
aclu/elections-api/congress_legislator:1044,Karen C. Handel,Republican,6,GA,rep,1306
aclu/elections-api/congress_legislator:652,"Earl L. ""Buddy"" Carter",Republican,1,GA,rep,1301
aclu/elections-api/congress_legislator:11641,Marjorie Taylor Greene,Republican,14,GA,rep,1314
aclu/elections-api/congress_legislator:656,"Henry C. ""Hank"" Johnson, Jr.",Democrat,4,GA,rep,1304
aclu/elections-api/congress_legislator:654,David Scott,Democrat,13,GA,rep,1313
aclu/elections-api/congress_legislator:651,Barry Loudermilk,Republican,11,GA,rep,1311
aclu/elections-api/congress_legislator:662,"Sanford D. Bishop, Jr.",Democrat,2,GA,rep,1302
aclu/elections-api/congress_legislator:792,Bennie G. Thompson,Democrat,2,MS,rep,2802
aclu/elections-api/congress_legislator:795,Steven M. Palazzo,Republican,4,MS,rep,2804
aclu/elections-api/congress_legislator:11561,Michael Guest,Republican,3,MS,rep,2803
aclu/elections-api/congress_legislator:796,Trent Kelly,Republican,1,MS,rep,2801
