,aclu_id,name,official_name,party,district,state,legislator_type,zeroed_district,congressional_district
0,aclu/elections-api/congress_legislator:1012,Peter Welch,Peter Welch,Democrat,0,VT,rep,0,5000
1,aclu/elections-api/congress_legislator:1000,,"Donald S. Beyer, Jr.",Democrat,8,VA,rep,8,5108
2,aclu/elections-api/congress_legislator:11604,,Abigail Davis Spanberger,Democrat,7,VA,rep,7,5107
3,aclu/elections-api/congress_legislator:11607,Elaine Luria,Elaine G. Luria,Democrat,2,VA,rep,2,5102
4,aclu/elections-api/congress_legislator:11606,,Denver Riggleman,Republican,5,VA,rep,5,5105
5,aclu/elections-api/congress_legislator:997,Barbara Comstock,Barbara Comstock,Republican,10,VA,rep,10,5110
6,aclu/elections-api/congress_legislator:1002,Morgan Griffith,H. Morgan Griffith,Republican,9,VA,rep,9,5109
7,aclu/elections-api/congress_legislator:996,,A. Donald McEachin,Democrat,4,VA,rep,4,5104
8,aclu/elections-api/congress_legislator:1004,Robert C. Scott,"Robert C. ""Bobby"" Scott",Democrat,3,VA,rep,3,5103
9,aclu/elections-api/congress_legislator:11605,,Ben Cline,Republican,6,VA,rep,6,5106
10,aclu/elections-api/congress_legislator:1006,,Scott Taylor,Republican,2,VA,rep,2,5102
11,aclu/elections-api/congress_legislator:998,Bob Goodlatte,Bob Goodlatte,Republican,6,VA,rep,6,5106
12,aclu/elections-api/congress_legislator:1005,Robert J. Wittman,Robert J. Wittman,Republican,1,VA,rep,1,5101
13,aclu/elections-api/congress_legislator:1007,,"Thomas A. Garrett, Jr.",Republican,5,VA,rep,5,5105
14,aclu/elections-api/congress_legislator:1001,,Gerald E. Connolly,Democrat,11,VA,rep,11,5111
15,aclu/elections-api/congress_legislator:11608,,Jennifer Wexton,Democrat,10,VA,rep,10,5110
16,aclu/elections-api/congress_legislator:999,David Brat,Dave Brat,Republican,7,VA,rep,7,5107
17,aclu/elections-api/congress_legislator:941,Kristi Noem,Kristi L. Noem,Republican,0,SD,rep,0,4600
18,aclu/elections-api/congress_legislator:11589,,Dusty Johnson,Republican,0,SD,rep,0,4600
19,aclu/elections-api/congress_legislator:932,Jeff Duncan,Jeff Duncan,Republican,3,SC,rep,3,4503
20,aclu/elections-api/congress_legislator:11587,,Joe Cunningham,Democrat,1,SC,rep,1,4501
21,aclu/elections-api/congress_legislator:936,Ralph W. Norman,Ralph Norman,Republican,5,SC,rep,5,4505
22,aclu/elections-api/congress_legislator:938,Tom Rice (South Carolina),Tom Rice,Republican,7,SC,rep,7,4507
23,aclu/elections-api/congress_legislator:935,Mark Sanford,Mark Sanford,Republican,1,SC,rep,1,4501
24,aclu/elections-api/congress_legislator:11588,,William R. Timmons IV,Republican,4,SC,rep,4,4504
25,aclu/elections-api/congress_legislator:939,Trey Gowdy,Trey Gowdy,Republican,4,SC,rep,4,4504
26,aclu/elections-api/congress_legislator:931,James E. Clyburn,James E. Clyburn,Democrat,6,SC,rep,6,4506
27,aclu/elections-api/congress_legislator:933,Joe Wilson,Joe Wilson,Republican,2,SC,rep,2,4502
28,aclu/elections-api/congress_legislator:1049,John Curtis (Utah),John R. Curtis,Republican,3,UT,rep,3,4903
29,aclu/elections-api/congress_legislator:11602,,Ben McAdams,Democrat,4,UT,rep,4,4904
30,aclu/elections-api/congress_legislator:995,Rob Bishop,Rob Bishop,Republican,1,UT,rep,1,4901
31,aclu/elections-api/congress_legislator:992,,Mia B. Love,Republican,4,UT,rep,4,4904
32,aclu/elections-api/congress_legislator:991,Chris Stewart,Chris Stewart,Republican,2,UT,rep,2,4902
33,aclu/elections-api/congress_legislator:1009,,Stacey E. Plaskett,Democrat,0,VI,rep,0,7800
34,aclu/elections-api/congress_legislator:657,,Jody B. Hice,Republican,10,GA,rep,10,1310
35,aclu/elections-api/congress_legislator:649,Drew Ferguson,A. Drew Ferguson IV,Republican,3,GA,rep,3,1303
36,aclu/elections-api/congress_legislator:655,Doug Collins,Doug Collins,Republican,9,GA,rep,9,1309
37,aclu/elections-api/congress_legislator:650,Austin Scott,Austin Scott,Republican,8,GA,rep,8,1308
38,aclu/elections-api/congress_legislator:660,,Rick W. Allen,Republican,12,GA,rep,12,1312
39,aclu/elections-api/congress_legislator:11621,Kwanza Hall,,Democrat,5,GA,rep,5,1305
40,aclu/elections-api/congress_legislator:659,John Lewis (Georgia),John Lewis,Democrat,5,GA,rep,5,1305
41,aclu/elections-api/congress_legislator:663,Tom Graves,Tom Graves,Republican,14,GA,rep,14,1314
42,aclu/elections-api/congress_legislator:661,,Rob Woodall,Republican,7,GA,rep,7,1307
43,aclu/elections-api/congress_legislator:11533,,Lucy McBath,Democrat,6,GA,rep,6,1306
44,aclu/elections-api/congress_legislator:1044,Karen Handel,Karen C. Handel,Republican,6,GA,rep,6,1306
45,aclu/elections-api/congress_legislator:652,,"Earl L. ""Buddy"" Carter",Republican,1,GA,rep,1,1301
46,aclu/elections-api/congress_legislator:656,"Henry C. Johnson, Jr.","Henry C. ""Hank"" Johnson, Jr.",Democrat,4,GA,rep,4,1304
47,aclu/elections-api/congress_legislator:654,David Scott (Georgia),David Scott,Democrat,13,GA,rep,13,1313
48,aclu/elections-api/congress_legislator:651,,Barry Loudermilk,Republican,11,GA,rep,11,1311
49,aclu/elections-api/congress_legislator:662,,"Sanford D. Bishop, Jr.",Democrat,2,GA,rep,2,1302
50,aclu/elections-api/congress_legislator:792,,Bennie G. Thompson,Democrat,2,MS,rep,2,2802
51,aclu/elections-api/congress_legislator:795,,Steven M. Palazzo,Republican,4,MS,rep,4,2804
52,aclu/elections-api/congress_legislator:11561,,Michael Guest,Republican,3,MS,rep,3,2803
53,aclu/elections-api/congress_legislator:796,Trent Kelly,Trent Kelly,Republican,1,MS,rep,1,2801
54,aclu/elections-api/congress_legislator:793,,Gregg Harper,Republican,3,MS,rep,3,2803
55,aclu/elections-api/congress_legislator:1047,Greg Gianforte,Greg Gianforte,Republican,0,MT,rep,0,3000
56,aclu/elections-api/congress_legislator:781,Ann Wagner,Ann Wagner,Republican,2,MO,rep,2,2902
57,aclu/elections-api/congress_legislator:782,,Billy Long,Republican,7,MO,rep,7,2907
